Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Frente;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0017_02 PLU_AGRO 0017 TAMBAU SP FABRICA DE RACAO;PLUMA_AGRO.PPE.0824.V11;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Produção;Produção;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Em Andamento;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0028_02 PLU_AGRO 0028 CASCAVEL PR FABRICA DE RACAO;PLUMA_AGRO.PPE.0764.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0029_02 PLU_AGRO 0029 FORMOSA GO FABRICA DE RACAO;PLUMA_AGRO.PPE.0789.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0035_02 PLU_AGRO 0035 BRASILIA DF FABRICA DE RACAO;PLUMA_AGRO.PPE.0767.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0042_02 PLU_AGRO 0042 BARIRI SP FABRICA DE RACAO;PLUMA_AGRO.PPE.0770.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0059_02 PLU_AGRO 0059 DOIS VIZINHOS PR FABRICA DE RACAO;PLUMA_AGRO.PPE.0774.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Ok;1;Concluído;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0201_12 BEL_0001 ITAQUIRAI MS FABRICA DE FARINHAS E OLE;BELLO.PPE.0217.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0202_02 BEL_0002 ITAQUIRAI MS FABRICA DE RACAO;BELLO.PPE.0214.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0205_02 BEL_0005 AP DO TABOADO MS FABRICA DE RACAO;BELLO.PPE.0201.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0205_12 BEL_0005 AP DO TABOADO MS FABRICA DE FARINHAS E;BELLO.PPE.0237.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0212_09 BEL_0012 ELDORADO MS FABRICA DE INDUSTRIALIZADO;BELLO.PPE.0226.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0214_02 BEL_0014 ITAPUI SP FABRICA DE RACAO;BELLO.PPE.0195.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0232_09 BEL_0032 BALSA NOVA PR FABRICA DE INDUSTRIALIZA;BELLO.PPE.0194.V12;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0301_09 MAIS_FRA 0001 MIRAGUAI RS FABRICA DE INDUSTRIAL;MAIS_FRANGO.PPE.0066.V12;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0301_12 MAIS_FRA 0001 MIRAGUAI RS FABRICA DE FARINHAS E;MAIS_FRANGO.PPE.0071.V12;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0303_02 MAIS_FRA 0003 MIRAGUAI RS FABRICA DE RACAO;MAIS_FRANGO.PPE.0064.V12;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0402_02 PLUSV_AGRO 0002 UMUARAMA PR FABRICA DE RACAO;PLUSVAL.PPE.0248.V12;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0405_02 PLUSV_AGRO 0005 CASCAVEL PR FABRICA DE RACAO;PLUSVAL.PPE.0257.V12;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
P1;ACRESCIMO DE INSUMOS NA ORDEM DE PRODUÇÃO - 0406_12 PLUSV_AGRO 0006 CAPANEMA PR FABRICA DE FARINHAS;PLUSVAL.PPE.0265.V12;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Fábrica de Rações;Fábrica de Rações;Kelvin Junior;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-05-08 17:44
